uuid,model,isl,layer,K,N,cs,rung,cntb,need,degenerate,skip_full,tiny32,tiny128,error
flash_8k_L12,flash,8k,12,512,2051,1,cs1-small,7,2,False,False,True,True,
flash_8k_L14,flash,8k,14,512,2051,1,cs1-small,7,4,False,False,True,True,
flash_8k_L16,flash,8k,16,512,2051,1,cs1-small,5,3,False,False,True,True,
flash_8k_L18,flash,8k,18,512,2051,1,cs1-small,5,3,False,False,True,True,
flash_8k_L20,flash,8k,20,512,2051,1,cs1-small,9,9,False,True,True,True,
flash_8k_L22,flash,8k,22,512,2051,1,cs1-small,5,4,False,False,True,True,
flash_8k_L24,flash,8k,24,512,2051,1,cs1-small,6,4,False,False,True,True,
flash_8k_L26,flash,8k,26,512,2051,1,cs1-small,4,3,False,False,True,True,
flash_8k_L28,flash,8k,28,512,2051,1,cs1-small,10,3,False,False,True,True,
flash_8k_L30,flash,8k,30,512,2051,1,cs1-small,7,4,False,False,True,True,
flash_8k_L32,flash,8k,32,512,2051,1,cs1-small,5,2,False,False,True,True,
flash_8k_L34,flash,8k,34,512,2051,1,cs1-small,5,3,False,False,True,True,
flash_8k_L36,flash,8k,36,512,2051,1,cs1-small,11,9,False,False,True,True,
flash_8k_L38,flash,8k,38,512,2051,1,cs1-small,3,3,False,True,True,True,
flash_8k_L40,flash,8k,40,512,2051,1,cs1-small,8,6,False,False,True,True,
flash_8k_L42,flash,8k,42,512,2051,1,cs1-small,10,9,False,False,True,True,
flash_16k_L02,flash,16k,2,512,4099,1,cs1-small,3,3,False,True,True,True,
flash_16k_L04,flash,16k,4,512,4099,1,cs1-small,4,1,False,False,True,True,
flash_16k_L06,flash,16k,6,512,4099,1,cs1-small,5,4,False,False,True,True,
flash_16k_L08,flash,16k,8,512,4099,1,cs1-small,4,3,False,False,True,True,
flash_16k_L10,flash,16k,10,512,4099,1,cs1-small,8,1,False,False,True,True,
flash_16k_L12,flash,16k,12,512,4099,1,cs1-small,5,3,False,False,True,True,
flash_16k_L14,flash,16k,14,512,4099,1,cs1-small,4,2,False,False,True,True,
flash_16k_L16,flash,16k,16,512,4099,1,cs1-small,5,3,False,False,True,True,
flash_16k_L18,flash,16k,18,512,4099,1,cs1-small,5,1,False,False,True,True,
flash_16k_L20,flash,16k,20,512,4099,1,cs1-small,4,2,False,False,True,True,
flash_16k_L22,flash,16k,22,512,4099,1,cs1-small,7,1,False,False,True,True,
flash_16k_L24,flash,16k,24,512,4099,1,cs1-small,9,8,False,False,True,True,
flash_16k_L26,flash,16k,26,512,4099,1,cs1-small,4,4,False,True,True,True,
flash_16k_L28,flash,16k,28,512,4099,1,cs1-small,11,3,False,False,True,True,
flash_16k_L30,flash,16k,30,512,4099,1,cs1-small,5,5,False,True,True,True,
flash_16k_L32,flash,16k,32,512,4099,1,cs1-small,10,6,False,False,True,True,
flash_16k_L34,flash,16k,34,512,4099,1,cs1-small,5,3,False,False,True,True,
flash_16k_L36,flash,16k,36,512,4099,1,cs1-small,12,2,False,False,True,True,
flash_16k_L38,flash,16k,38,512,4099,1,cs1-small,10,1,False,False,True,True,
flash_16k_L40,flash,16k,40,512,4099,1,cs1-small,3,1,False,False,True,True,
flash_16k_L42,flash,16k,42,512,4099,1,cs1-small,13,6,False,False,True,True,
flash_32k_L02,flash,32k,2,512,8195,1,cs1-small,7,4,False,False,True,True,
flash_32k_L04,flash,32k,4,512,8195,1,cs1-small,3,3,False,True,True,True,
flash_32k_L06,flash,32k,6,512,8195,1,cs1-small,7,1,False,False,True,True,
flash_32k_L08,flash,32k,8,512,8195,1,cs1-small,9,4,False,False,True,True,
flash_32k_L10,flash,32k,10,512,8195,1,cs1-small,15,6,False,False,True,True,
flash_32k_L12,flash,32k,12,512,8195,1,cs1-small,12,9,False,False,True,True,
flash_32k_L14,flash,32k,14,512,8195,1,cs1-small,8,2,False,False,True,True,
flash_32k_L16,flash,32k,16,512,8195,1,cs1-small,9,8,False,False,True,True,
flash_32k_L18,flash,32k,18,512,8195,1,cs1-small,8,1,False,False,True,True,
flash_32k_L20,flash,32k,20,512,8195,1,cs1-small,6,1,False,False,True,True,
flash_32k_L22,flash,32k,22,512,8195,1,cs1-small,10,9,False,False,True,True,
flash_32k_L24,flash,32k,24,512,8195,1,cs1-small,15,2,False,False,True,True,
flash_32k_L26,flash,32k,26,512,8195,1,cs1-small,7,2,False,False,True,True,
flash_32k_L28,flash,32k,28,512,8195,1,cs1-small,2,1,False,False,True,True,
flash_32k_L30,flash,32k,30,512,8195,1,cs1-small,5,3,False,False,True,True,
flash_32k_L32,flash,32k,32,512,8195,1,cs1-small,11,1,False,False,True,True,
flash_32k_L34,flash,32k,34,512,8195,1,cs1-small,10,6,False,False,True,True,
flash_32k_L36,flash,32k,36,512,8195,1,cs1-small,8,4,False,False,True,True,
flash_32k_L38,flash,32k,38,512,8195,1,cs1-small,13,1,False,False,True,True,
flash_32k_L40,flash,32k,40,512,8195,1,cs1-small,7,4,False,False,True,True,
flash_32k_L42,flash,32k,42,512,8195,1,cs1-small,17,4,False,False,True,True,
flash_64k_L02,flash,64k,2,512,16387,1,cs1-mid,3,3,False,True,True,True,
flash_64k_L04,flash,64k,4,512,16387,1,cs1-mid,4,3,False,False,True,True,
flash_64k_L06,flash,64k,6,512,16387,1,cs1-mid,7,6,False,False,True,True,
flash_64k_L08,flash,64k,8,512,16387,1,cs1-mid,11,10,False,False,True,True,
flash_64k_L10,flash,64k,10,512,16387,1,cs1-mid,18,17,False,False,True,True,
flash_64k_L12,flash,64k,12,512,16387,1,cs1-mid,12,4,False,False,True,True,
flash_64k_L14,flash,64k,14,512,16387,1,cs1-mid,8,8,False,True,True,True,
flash_64k_L16,flash,64k,16,512,16387,1,cs1-mid,9,3,False,False,True,True,
flash_64k_L18,flash,64k,18,512,16387,1,cs1-mid,6,4,False,False,True,True,
flash_64k_L20,flash,64k,20,512,16387,1,cs1-mid,4,4,False,True,True,True,
flash_64k_L22,flash,64k,22,512,16387,1,cs1-mid,3,3,False,True,True,True,
flash_64k_L24,flash,64k,24,512,16387,1,cs1-mid,12,1,False,False,True,True,
flash_64k_L26,flash,64k,26,512,16387,1,cs1-mid,6,4,False,False,True,True,
flash_64k_L28,flash,64k,28,512,16387,1,cs1-mid,17,11,False,False,True,True,
flash_64k_L30,flash,64k,30,512,16387,1,cs1-mid,9,5,False,False,True,True,
flash_64k_L32,flash,64k,32,512,16387,1,cs1-mid,10,10,False,True,True,True,
flash_64k_L34,flash,64k,34,512,16387,1,cs1-mid,3,2,False,False,True,True,
flash_64k_L36,flash,64k,36,512,16387,1,cs1-mid,16,1,False,False,True,True,
flash_64k_L38,flash,64k,38,512,16387,1,cs1-mid,11,3,False,False,True,True,
flash_64k_L40,flash,64k,40,512,16387,1,cs1-mid,8,3,False,False,True,True,
flash_64k_L42,flash,64k,42,512,16387,1,cs1-mid,17,1,False,False,True,True,
flash_128k_L02,flash,128k,2,512,32771,1,cs1-mid,5,5,False,True,True,True,
flash_128k_L04,flash,128k,4,512,32771,1,cs1-mid,7,6,False,False,True,True,
flash_128k_L06,flash,128k,6,512,32771,1,cs1-mid,8,8,False,True,True,True,
flash_128k_L08,flash,128k,8,512,32771,1,cs1-mid,4,2,False,False,True,True,
flash_128k_L10,flash,128k,10,512,32771,1,cs1-mid,20,19,False,False,True,True,
flash_128k_L12,flash,128k,12,512,32771,1,cs1-mid,5,3,False,False,True,True,
flash_128k_L14,flash,128k,14,512,32771,1,cs1-mid,7,2,False,False,True,True,
flash_128k_L16,flash,128k,16,512,32771,1,cs1-mid,9,7,False,False,True,True,
flash_128k_L18,flash,128k,18,512,32771,1,cs1-mid,5,5,False,True,True,True,
flash_128k_L20,flash,128k,20,512,32771,1,cs1-mid,7,1,False,False,True,True,
flash_128k_L22,flash,128k,22,512,32771,1,cs1-mid,7,1,False,False,True,True,
flash_128k_L24,flash,128k,24,512,32771,1,cs1-mid,10,9,False,False,True,True,
flash_128k_L26,flash,128k,26,512,32771,1,cs1-mid,9,3,False,False,True,True,
flash_128k_L28,flash,128k,28,512,32771,1,cs1-mid,7,6,False,False,True,True,
flash_128k_L30,flash,128k,30,512,32771,1,cs1-mid,9,4,False,False,True,True,
flash_128k_L32,flash,128k,32,512,32771,1,cs1-mid,8,7,False,False,True,True,
flash_128k_L34,flash,128k,34,512,32771,1,cs1-mid,8,5,False,False,True,True,
flash_128k_L36,flash,128k,36,512,32771,1,cs1-mid,7,2,False,False,True,True,
flash_128k_L38,flash,128k,38,512,32771,1,cs1-mid,13,3,False,False,True,True,
flash_128k_L40,flash,128k,40,512,32771,1,cs1-mid,9,7,False,False,True,True,
flash_128k_L42,flash,128k,42,512,32771,1,cs1-mid,8,1,False,False,True,True,
flash_256k_L02,flash,256k,2,512,65538,4,cs4,5,3,False,False,True,True,
flash_256k_L04,flash,256k,4,512,65538,4,cs4,8,5,False,False,True,True,
flash_256k_L06,flash,256k,6,512,65538,4,cs4,10,4,False,False,True,True,
flash_256k_L08,flash,256k,8,512,65538,4,cs4,15,15,False,True,True,True,
flash_256k_L10,flash,256k,10,512,65538,4,cs4,21,15,False,False,True,True,
flash_256k_L12,flash,256k,12,512,65538,4,cs4,17,17,False,True,True,True,
flash_256k_L14,flash,256k,14,512,65538,4,cs4,9,2,False,False,True,True,
flash_256k_L16,flash,256k,16,512,65538,4,cs4,8,3,False,False,True,True,
flash_256k_L18,flash,256k,18,512,65538,4,cs4,15,1,False,False,True,True,
flash_256k_L20,flash,256k,20,512,65538,4,cs4,9,7,False,False,True,True,
flash_256k_L22,flash,256k,22,512,65538,4,cs4,8,2,False,False,True,True,
flash_256k_L24,flash,256k,24,512,65538,4,cs4,11,10,False,False,True,True,
flash_256k_L26,flash,256k,26,512,65538,4,cs4,14,5,False,False,True,True,
flash_256k_L28,flash,256k,28,512,65538,4,cs4,13,12,False,False,True,True,
flash_256k_L30,flash,256k,30,512,65538,4,cs4,12,4,False,False,True,True,
flash_256k_L32,flash,256k,32,512,65538,4,cs4,24,12,False,False,True,True,
flash_256k_L34,flash,256k,34,512,65538,4,cs4,13,1,False,False,True,True,
flash_256k_L36,flash,256k,36,512,65538,4,cs4,12,11,False,False,True,True,
flash_256k_L38,flash,256k,38,512,65538,4,cs4,16,2,False,False,True,True,
flash_256k_L40,flash,256k,40,512,65538,4,cs4,3,3,False,True,True,True,
flash_256k_L42,flash,256k,42,512,65538,4,cs4,17,8,False,False,True,True,
flash_512k_L02,flash,512k,2,512,131075,8,cs8,2,2,False,True,True,True,
flash_512k_L04,flash,512k,4,512,131075,8,cs8,6,2,False,False,True,True,
flash_512k_L06,flash,512k,6,512,131075,8,cs8,5,5,False,True,True,True,
flash_512k_L08,flash,512k,8,512,131075,8,cs8,4,4,False,True,True,True,
flash_512k_L10,flash,512k,10,512,131075,8,cs8,12,5,False,False,True,True,
flash_512k_L12,flash,512k,12,512,131075,8,cs8,3,1,False,False,True,True,
flash_512k_L14,flash,512k,14,512,131075,8,cs8,8,7,False,False,True,True,
flash_512k_L16,flash,512k,16,512,131075,8,cs8,8,6,False,False,True,True,
flash_512k_L18,flash,512k,18,512,131075,8,cs8,10,5,False,False,True,True,
flash_512k_L20,flash,512k,20,512,131075,8,cs8,8,6,False,False,True,True,
flash_512k_L22,flash,512k,22,512,131075,8,cs8,10,8,False,False,True,True,
flash_512k_L24,flash,512k,24,512,131075,8,cs8,12,4,False,False,True,True,
flash_512k_L26,flash,512k,26,512,131075,8,cs8,4,1,False,False,True,True,
flash_512k_L28,flash,512k,28,512,131075,8,cs8,11,10,False,False,True,True,
flash_512k_L30,flash,512k,30,512,131075,8,cs8,8,5,False,False,True,True,
flash_512k_L32,flash,512k,32,512,131075,8,cs8,14,1,False,False,True,True,
flash_512k_L34,flash,512k,34,512,131075,8,cs8,10,4,False,False,True,True,
flash_512k_L36,flash,512k,36,512,131075,8,cs8,17,17,False,True,True,True,
flash_512k_L38,flash,512k,38,512,131075,8,cs8,18,13,False,False,True,True,
flash_512k_L40,flash,512k,40,512,131075,8,cs8,7,6,False,False,True,True,
flash_512k_L42,flash,512k,42,512,131075,8,cs8,23,4,False,False,True,True,
flash_1024k_L02,flash,1024k,2,512,262127,8,cs8,7,6,False,False,True,True,
flash_1024k_L04,flash,1024k,4,512,262127,8,cs8,5,2,False,False,True,True,
flash_1024k_L06,flash,1024k,6,512,262127,8,cs8,5,3,False,False,True,True,
flash_1024k_L08,flash,1024k,8,512,262127,8,cs8,7,5,False,False,True,True,
flash_1024k_L10,flash,1024k,10,512,262127,8,cs8,15,8,False,False,True,True,
flash_1024k_L12,flash,1024k,12,512,262127,8,cs8,6,3,False,False,True,True,
flash_1024k_L14,flash,1024k,14,512,262127,8,cs8,7,5,False,False,True,True,
flash_1024k_L16,flash,1024k,16,512,262127,8,cs8,3,3,False,True,True,True,
flash_1024k_L18,flash,1024k,18,512,262127,8,cs8,8,4,False,False,True,True,
flash_1024k_L20,flash,1024k,20,512,262127,8,cs8,7,5,False,False,True,True,
flash_1024k_L22,flash,1024k,22,512,262127,8,cs8,7,1,False,False,True,True,
flash_1024k_L24,flash,1024k,24,512,262127,8,cs8,12,12,False,True,True,True,
flash_1024k_L26,flash,1024k,26,512,262127,8,cs8,7,6,False,False,True,True,
flash_1024k_L28,flash,1024k,28,512,262127,8,cs8,5,4,False,False,True,True,
flash_1024k_L30,flash,1024k,30,512,262127,8,cs8,12,4,False,False,True,True,
flash_1024k_L32,flash,1024k,32,512,262127,8,cs8,17,7,False,False,True,True,
flash_1024k_L34,flash,1024k,34,512,262127,8,cs8,7,3,False,False,True,True,
flash_1024k_L36,flash,1024k,36,512,262127,8,cs8,6,3,False,False,True,True,
flash_1024k_L38,flash,1024k,38,512,262127,8,cs8,12,11,False,False,True,True,
flash_1024k_L40,flash,1024k,40,512,262127,8,cs8,11,1,False,False,True,True,
flash_1024k_L42,flash,1024k,42,512,262127,8,cs8,27,23,False,False,True,True,
pro_4k_L02,pro,4k,2,1024,1027,1,cs1-small,0,0,True,False,False,False,
pro_4k_L04,pro,4k,4,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L06,pro,4k,6,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L08,pro,4k,8,1024,1027,1,cs1-small,3,3,False,True,True,True,
pro_4k_L10,pro,4k,10,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L12,pro,4k,12,1024,1027,1,cs1-small,2,1,False,False,True,True,
pro_4k_L14,pro,4k,14,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L16,pro,4k,16,1024,1027,1,cs1-small,0,0,True,False,False,False,
pro_4k_L18,pro,4k,18,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L20,pro,4k,20,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L22,pro,4k,22,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L24,pro,4k,24,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L26,pro,4k,26,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L28,pro,4k,28,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L30,pro,4k,30,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L32,pro,4k,32,1024,1027,1,cs1-small,2,2,False,True,True,True,
pro_4k_L34,pro,4k,34,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L36,pro,4k,36,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L38,pro,4k,38,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L40,pro,4k,40,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L42,pro,4k,42,1024,1027,1,cs1-small,2,1,False,False,True,True,
pro_4k_L44,pro,4k,44,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L46,pro,4k,46,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L48,pro,4k,48,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L50,pro,4k,50,1024,1027,1,cs1-small,3,2,False,False,True,True,
pro_4k_L52,pro,4k,52,1024,1027,1,cs1-small,2,2,False,True,True,True,
pro_4k_L54,pro,4k,54,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L56,pro,4k,56,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L58,pro,4k,58,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_4k_L60,pro,4k,60,1024,1027,1,cs1-small,1,1,False,True,True,True,
pro_8k_L02,pro,8k,2,1024,2051,1,cs1-small,10,10,False,True,True,True,
pro_8k_L04,pro,8k,4,1024,2051,1,cs1-small,7,5,False,False,True,True,
pro_8k_L06,pro,8k,6,1024,2051,1,cs1-small,7,1,False,False,True,True,
pro_8k_L08,pro,8k,8,1024,2051,1,cs1-small,12,2,False,False,True,True,
pro_8k_L10,pro,8k,10,1024,2051,1,cs1-small,7,5,False,False,True,True,
pro_8k_L12,pro,8k,12,1024,2051,1,cs1-small,12,7,False,False,True,True,
pro_8k_L14,pro,8k,14,1024,2051,1,cs1-small,10,2,False,False,True,True,
pro_8k_L16,pro,8k,16,1024,2051,1,cs1-small,1,1,False,True,True,True,
pro_8k_L18,pro,8k,18,1024,2051,1,cs1-small,6,6,False,True,True,True,
pro_8k_L20,pro,8k,20,1024,2051,1,cs1-small,11,5,False,False,True,True,
pro_8k_L22,pro,8k,22,1024,2051,1,cs1-small,9,2,False,False,True,True,
pro_8k_L24,pro,8k,24,1024,2051,1,cs1-small,9,6,False,False,True,True,
pro_8k_L26,pro,8k,26,1024,2051,1,cs1-small,10,5,False,False,True,True,
pro_8k_L28,pro,8k,28,1024,2051,1,cs1-small,17,16,False,False,True,True,
pro_8k_L30,pro,8k,30,1024,2051,1,cs1-small,9,8,False,False,True,True,
pro_8k_L32,pro,8k,32,1024,2051,1,cs1-small,6,3,False,False,True,True,
pro_8k_L34,pro,8k,34,1024,2051,1,cs1-small,9,1,False,False,True,True,
pro_8k_L36,pro,8k,36,1024,2051,1,cs1-small,7,2,False,False,True,True,
pro_8k_L38,pro,8k,38,1024,2051,1,cs1-small,6,2,False,False,True,True,
pro_8k_L40,pro,8k,40,1024,2051,1,cs1-small,4,1,False,False,True,True,
pro_8k_L42,pro,8k,42,1024,2051,1,cs1-small,7,5,False,False,True,True,
pro_8k_L44,pro,8k,44,1024,2051,1,cs1-small,5,5,False,True,True,True,
pro_8k_L46,pro,8k,46,1024,2051,1,cs1-small,10,10,False,True,True,True,
pro_8k_L48,pro,8k,48,1024,2051,1,cs1-small,8,1,False,False,True,True,
pro_8k_L50,pro,8k,50,1024,2051,1,cs1-small,6,6,False,True,True,True,
pro_8k_L52,pro,8k,52,1024,2051,1,cs1-small,10,10,False,True,True,True,
pro_8k_L54,pro,8k,54,1024,2051,1,cs1-small,6,2,False,False,True,True,
pro_8k_L56,pro,8k,56,1024,2051,1,cs1-small,17,4,False,False,True,True,
pro_8k_L58,pro,8k,58,1024,2051,1,cs1-small,11,10,False,False,True,True,
pro_8k_L60,pro,8k,60,1024,2051,1,cs1-small,8,5,False,False,True,True,
pro_16k_L02,pro,16k,2,1024,4099,1,cs1-small,4,3,False,False,True,True,
pro_16k_L04,pro,16k,4,1024,4099,1,cs1-small,24,8,False,False,True,True,
pro_16k_L06,pro,16k,6,1024,4099,1,cs1-small,11,8,False,False,True,True,
pro_16k_L08,pro,16k,8,1024,4099,1,cs1-small,21,11,False,False,True,True,
pro_16k_L10,pro,16k,10,1024,4099,1,cs1-small,11,1,False,False,True,True,
pro_16k_L12,pro,16k,12,1024,4099,1,cs1-small,17,7,False,False,True,True,
pro_16k_L14,pro,16k,14,1024,4099,1,cs1-small,16,5,False,False,True,True,
pro_16k_L16,pro,16k,16,1024,4099,1,cs1-small,10,2,False,False,True,True,
pro_16k_L18,pro,16k,18,1024,4099,1,cs1-small,13,4,False,False,True,True,
pro_16k_L20,pro,16k,20,1024,4099,1,cs1-small,10,9,False,False,True,True,
pro_16k_L22,pro,16k,22,1024,4099,1,cs1-small,9,2,False,False,True,True,
pro_16k_L24,pro,16k,24,1024,4099,1,cs1-small,15,12,False,False,True,True,
pro_16k_L26,pro,16k,26,1024,4099,1,cs1-small,14,3,False,False,True,True,
pro_16k_L28,pro,16k,28,1024,4099,1,cs1-small,9,1,False,False,True,True,
pro_16k_L30,pro,16k,30,1024,4099,1,cs1-small,13,9,False,False,True,True,
pro_16k_L32,pro,16k,32,1024,4099,1,cs1-small,9,2,False,False,True,True,
pro_16k_L34,pro,16k,34,1024,4099,1,cs1-small,7,4,False,False,True,True,
pro_16k_L36,pro,16k,36,1024,4099,1,cs1-small,4,1,False,False,True,True,
pro_16k_L38,pro,16k,38,1024,4099,1,cs1-small,5,4,False,False,True,True,
pro_16k_L40,pro,16k,40,1024,4099,1,cs1-small,10,5,False,False,True,True,
pro_16k_L42,pro,16k,42,1024,4099,1,cs1-small,9,3,False,False,True,True,
pro_16k_L44,pro,16k,44,1024,4099,1,cs1-small,12,7,False,False,True,True,
pro_16k_L46,pro,16k,46,1024,4099,1,cs1-small,16,13,False,False,True,True,
pro_16k_L48,pro,16k,48,1024,4099,1,cs1-small,5,4,False,False,True,True,
pro_16k_L50,pro,16k,50,1024,4099,1,cs1-small,10,3,False,False,True,True,
pro_16k_L52,pro,16k,52,1024,4099,1,cs1-small,14,2,False,False,True,True,
pro_16k_L54,pro,16k,54,1024,4099,1,cs1-small,17,12,False,False,True,True,
pro_16k_L56,pro,16k,56,1024,4099,1,cs1-small,12,8,False,False,True,True,
pro_16k_L58,pro,16k,58,1024,4099,1,cs1-small,9,4,False,False,True,True,
pro_16k_L60,pro,16k,60,1024,4099,1,cs1-small,21,18,False,False,True,True,
pro_32k_L02,pro,32k,2,1024,8195,1,cs1-small,10,4,False,False,True,True,
pro_32k_L04,pro,32k,4,1024,8195,1,cs1-small,13,13,False,True,True,True,
pro_32k_L06,pro,32k,6,1024,8195,1,cs1-small,12,8,False,False,True,True,
pro_32k_L08,pro,32k,8,1024,8195,1,cs1-small,16,14,False,False,True,True,
pro_32k_L10,pro,32k,10,1024,8195,1,cs1-small,12,12,False,True,True,True,
pro_32k_L12,pro,32k,12,1024,8195,1,cs1-small,24,9,False,False,True,True,
pro_32k_L14,pro,32k,14,1024,8195,1,cs1-small,26,2,False,False,True,True,
pro_32k_L16,pro,32k,16,1024,8195,1,cs1-small,21,20,False,False,True,True,
pro_32k_L18,pro,32k,18,1024,8195,1,cs1-small,18,11,False,False,True,True,
pro_32k_L20,pro,32k,20,1024,8195,1,cs1-small,12,2,False,False,True,True,
pro_32k_L22,pro,32k,22,1024,8195,1,cs1-small,14,8,False,False,True,True,
pro_32k_L24,pro,32k,24,1024,8195,1,cs1-small,11,4,False,False,True,True,
pro_32k_L26,pro,32k,26,1024,8195,1,cs1-small,15,14,False,False,True,True,
pro_32k_L28,pro,32k,28,1024,8195,1,cs1-small,9,8,False,False,True,True,
pro_32k_L30,pro,32k,30,1024,8195,1,cs1-small,14,4,False,False,True,True,
pro_32k_L32,pro,32k,32,1024,8195,1,cs1-small,10,9,False,False,True,True,
pro_32k_L34,pro,32k,34,1024,8195,1,cs1-small,15,9,False,False,True,True,
pro_32k_L36,pro,32k,36,1024,8195,1,cs1-small,12,1,False,False,True,True,
pro_32k_L38,pro,32k,38,1024,8195,1,cs1-small,12,8,False,False,True,True,
pro_32k_L40,pro,32k,40,1024,8195,1,cs1-small,15,3,False,False,True,True,
pro_32k_L42,pro,32k,42,1024,8195,1,cs1-small,9,6,False,False,True,True,
pro_32k_L44,pro,32k,44,1024,8195,1,cs1-small,9,9,False,True,True,True,
pro_32k_L46,pro,32k,46,1024,8195,1,cs1-small,12,2,False,False,True,True,
pro_32k_L48,pro,32k,48,1024,8195,1,cs1-small,15,9,False,False,True,True,
pro_32k_L50,pro,32k,50,1024,8195,1,cs1-small,16,3,False,False,True,True,
pro_32k_L52,pro,32k,52,1024,8195,1,cs1-small,17,10,False,False,True,True,
pro_32k_L54,pro,32k,54,1024,8195,1,cs1-small,7,6,False,False,True,True,
pro_32k_L56,pro,32k,56,1024,8195,1,cs1-small,19,13,False,False,True,True,
pro_32k_L58,pro,32k,58,1024,8195,1,cs1-small,6,2,False,False,True,True,
pro_32k_L60,pro,32k,60,1024,8195,1,cs1-small,21,12,False,False,True,True,
pro_64k_L02,pro,64k,2,1024,16387,1,cs1-mid,12,6,False,False,True,True,
pro_64k_L04,pro,64k,4,1024,16387,1,cs1-mid,15,8,False,False,True,True,
pro_64k_L06,pro,64k,6,1024,16387,1,cs1-mid,17,2,False,False,True,True,
pro_64k_L08,pro,64k,8,1024,16387,1,cs1-mid,20,1,False,False,True,True,
pro_64k_L10,pro,64k,10,1024,16387,1,cs1-mid,11,11,False,True,True,True,
pro_64k_L12,pro,64k,12,1024,16387,1,cs1-mid,23,21,False,False,True,True,
pro_64k_L14,pro,64k,14,1024,16387,1,cs1-mid,34,22,False,False,False,True,
pro_64k_L16,pro,64k,16,1024,16387,1,cs1-mid,18,7,False,False,True,True,
pro_64k_L18,pro,64k,18,1024,16387,1,cs1-mid,34,9,False,False,False,True,
pro_64k_L20,pro,64k,20,1024,16387,1,cs1-mid,16,12,False,False,True,True,
pro_64k_L22,pro,64k,22,1024,16387,1,cs1-mid,18,15,False,False,True,True,
